movieId,title,releaseYear,genre,rating,duration,directorId,actorIds
1,Movie 1,2001,Crime,5.4,81,231,"461,1696,964"
2,Movie 2,1975,Horror,9.4,99,238,"1246,1921,1799,225,282"
3,Movie 3,1992,Fantasy,5.8,104,222,"865,1049,1301,1256,1919"
4,Movie 4,1956,Drama,8.4,104,995,"1261,316"
5,Movie 5,1967,Drama,6.2,81,460,"420,534,1016,1504"
6,Movie 6,1990,Thriller,6.3,195,921,"746,168,511,398,684"
7,Movie 7,1960,Adventure,5.8,112,242,"428,483,1550"
8,Movie 8,1951,Action,4.3,194,601,"841,1607,1841,1943,750"
9,Movie 9,1995,Drama,8.2,172,61,"1753,393"
10,Movie 10,2012,Horror,8.3,118,532,"1369,1740,884,560"
11,Movie 11,1970,Sci-Fi,9.4,154,955,"323,964,23,443,760"
12,Movie 12,1968,Adventure,9.2,192,325,"1641,1546"
13,Movie 13,1985,Thriller,5.4,100,835,"1515,1410,1653,585"
14,Movie 14,1996,Drama,8.6,139,930,"1037,1015,1231,496"
15,Movie 15,1973,Thriller,9.4,144,915,"1212,1609,1656,1320"
16,Movie 16,1990,Adventure,6.5,184,18,"1569,1873,894,1277"
17,Movie 17,1959,Action,6.6,196,751,"1066,34,776"
18,Movie 18,2002,Comedy,6.2,174,580,"1445,739,902"
19,Movie 19,1996,Thriller,9.7,155,535,"1343,1507"
20,Movie 20,1952,Crime,8.9,107,56,"110,613,920"
21,Movie 21,1961,Sci-Fi,6.3,167,972,"794,1037,215,1407,516"
22,Movie 22,1995,Romance,9.2,131,879,"1786,139,1230,1103"
23,Movie 23,2022,Romance,7.5,130,693,"1160,524,1361,1827,463"
24,Movie 24,1959,Drama,6.2,168,467,"1663,1305,1064,610"
25,Movie 25,1972,Crime,6.4,153,354,"131,234,537,417,794"
26,Movie 26,2024,Action,5.4,189,8,"99,866,692,349,945"
27,Movie 27,1989,Adventure,7.7,131,386,"1058,491,816,1905"
28,Movie 28,1955,Crime,9.2,153,197,"1034,885"
29,Movie 29,1972,Adventure,6.3,80,595,"652,1339,796,1876"
30,Movie 30,2000,Thriller,9.7,86,612,"1819,1428,1713,401"
31,Movie 31,2012,Thriller,9.6,187,132,"1333,1324,1915,1610,1034"
32,Movie 32,2006,Crime,7.6,168,212,"1083,327,1174"
33,Movie 33,1990,Comedy,8.7,112,224,"1165,437,1494,543"
34,Movie 34,1978,Comedy,9.2,96,472,"878,313,1335,978,1083"
35,Movie 35,1961,Sci-Fi,4.9,185,251,"845,1755,1074"
36,Movie 36,1958,Crime,9.6,176,426,"763,1749,417,350,12"
37,Movie 37,1958,Comedy,5.1,200,984,"234,20"
38,Movie 38,2013,Romance,8.2,182,110,"1324,997,1711,1673,1577"
39,Movie 39,1972,Adventure,8.6,157,158,"291,175,19,556,676"
40,Movie 40,1986,Thriller,4.5,178,164,"543,273,1529"
41,Movie 41,2004,Thriller,8.5,81,680,"798,1526,1859,58"
42,Movie 42,1993,Thriller,5.0,174,680,"1331,744,1677,864,773"
43,Movie 43,1994,Crime,9.7,170,686,"123,364,1722,1758,794"
44,Movie 44,2004,Drama,7.7,115,768,"1656,1637,770"
45,Movie 45,1977,Horror,6.5,141,284,"677,292,823"
46,Movie 46,2000,Thriller,5.7,90,190,"1629,1157,1611"
47,Movie 47,1953,Drama,6.1,194,66,"1587,1836"
48,Movie 48,2025,Sci-Fi,8.1,102,333,"1137,1388,764,188,1241"
49,Movie 49,1966,Action,4.5,162,335,"1447,1527,220,1577,1253"
50,Movie 50,1954,Adventure,5.2,152,476,"250,1994,1359,1403,983"
51,Movie 51,1956,Fantasy,6.1,132,344,"60,1861"
52,Movie 52,1952,Drama,4.1,183,601,"1717,62,1210,812,1549"
53,Movie 53,1977,Romance,4.4,150,983,"93,742,98"
54,Movie 54,1969,Horror,4.6,113,882,"482,1685"
55,Movie 55,1996,Comedy,4.2,137,684,"141,738,1223,1089,1885"
56,Movie 56,1995,Action,8.0,126,462,"1105,772,1440,176"
57,Movie 57,1976,Thriller,8.6,118,326,"221,1942,1702,258,746"
58,Movie 58,1991,Crime,4.2,190,2,"621,1535,1798,554,883"
59,Movie 59,2022,Action,9.5,166,486,"350,282"
60,Movie 60,1959,Sci-Fi,4.9,162,686,"1107,229,1881,74,1102"
61,Movie 61,1958,Fantasy,9.3,195,301,"1397,95"
62,Movie 62,1999,Action,7.7,83,783,"964,886,1604"
63,Movie 63,1972,Action,5.9,113,651,"1157,630,259,1343"
64,Movie 64,2004,Crime,8.1,114,407,"430,574,1103"
65,Movie 65,2011,Horror,4.7,175,283,"1622,1173,1298,1516,1455"
66,Movie 66,1976,Action,9.1,104,788,"651,1692,282,794"
67,Movie 67,1951,Fantasy,9.3,80,217,"1924,1415,1596"
68,Movie 68,2016,Romance,8.2,126,696,"1212,571,1091"
69,Movie 69,1967,Romance,8.1,198,498,"99,37,1371"
70,Movie 70,1972,Crime,5.4,144,734,"639,1378,1744"
71,Movie 71,1982,Action,9.0,123,292,"1384,1049,30,1529,229"
72,Movie 72,1951,Romance,8.1,91,396,"1281,490,575"
73,Movie 73,1999,Romance,7.2,104,840,"1632,1679,665,686"
74,Movie 74,2019,Sci-Fi,5.9,96,943,"897,1656,1045"
75,Movie 75,1984,Drama,9.4,104,405,"1470,995,1579"
76,Movie 76,1997,Adventure,8.0,133,675,"1231,1100,1785,1387"
77,Movie 77,2005,Drama,5.0,111,392,"1679,1549"
78,Movie 78,1981,Crime,8.0,142,497,"638,1332,1899"
79,Movie 79,2010,Thriller,4.0,125,20,"837,1009"
80,Movie 80,1995,Comedy,9.1,199,692,"1800,1389,1218,938"
81,Movie 81,1970,Comedy,9.0,137,686,"828,1765,669,1501"
82,Movie 82,1965,Sci-Fi,8.4,194,853,"796,770,1394,461"
83,Movie 83,2004,Adventure,8.8,120,459,"1959,978,631,1831,1416"
84,Movie 84,1968,Horror,4.8,143,763,"688,1506,1373,842"
85,Movie 85,1969,Crime,9.3,153,1000,"944,825,1387,1662"
86,Movie 86,1960,Romance,4.3,122,577,"1621,773"
87,Movie 87,1978,Thriller,6.0,128,734,"1653,1071,1428,1620,1296"
88,Movie 88,2010,Romance,6.3,166,542,"941,29,1147,777,1557"
89,Movie 89,1954,Romance,4.1,87,504,"1823,1916,1589"
90,Movie 90,2022,Sci-Fi,8.9,162,313,"932,19,609,1397,586"
91,Movie 91,1950,Drama,7.6,160,380,"758,1816,840,1054,577"
92,Movie 92,1982,Comedy,8.7,178,571,"211,1549,636"
93,Movie 93,1985,Drama,9.6,171,287,"1650,1523,1954"
94,Movie 94,1953,Comedy,8.0,94,328,"1716,1658,658,139,881"
95,Movie 95,2000,Adventure,8.2,143,625,"1134,755"
